"Train","Validation","K","G","model_type","n_rbf","lambda","c","poly","auc","mad.auc.","ams","mad.ams."
"t","b",10,3,"logistic_model",0,1e-04,1,2,0.822444441889531,0.021091490159813,1.87045662789551,0.871642706521368
"t","b",10,3,"logistic_model",1,1e-04,1,2,0.822398515633034,0.0174174039634994,1.88222922906576,0.884046976752882
"t","b",10,3,"logistic_model",2,1e-04,1,2,0.822441681833836,0.0195870174014087,1.86933478293094,0.9070179555695
"t","b",10,3,"logistic_model",0,0.00316227766016838,NA,2,0.822423628965349,0.0171174969079303,1.86713822192601,0.87362114643009
"t","b",10,3,"logistic_model",1,0.00316227766016838,NA,2,0.822432255824015,0.0186345033677537,1.86712564985247,0.892933747267721
"t","b",10,3,"logistic_model",2,0.00316227766016838,NA,2,0.822438902100995,0.0185182559828551,1.87193384027083,0.859244126889562
"t","b",10,3,"logistic_model",0,0.1,NA,2,0.822408180933401,0.0176152703364902,1.87803450563982,0.89666902135488
"t","b",10,3,"logistic_model",1,0.1,NA,2,0.822435052990578,0.0186332414065414,1.86765450921892,0.893220967645116
"t","b",10,3,"logistic_model",0,3.16227766016838,NA,2,0.821963611249023,0.0208778295945562,1.86552082834925,0.890925708035851
"t","b",10,3,"logistic_model",2,0.1,NA,2,0.822435052990578,0.0186332414065414,1.86765450921892,0.893220967645116
"t","b",10,3,"logistic_model",0,100,NA,2,0.818331220743111,0.0224981731049034,1.82120039327432,0.952577240427845
"t","b",10,3,"logistic_model",1,3.16227766016838,NA,2,0.821959234928091,0.018870967449502,1.86871799869421,0.897058456282326
"t","b",10,3,"logistic_model",2,3.16227766016838,NA,2,0.821959234928091,0.018870967449502,1.86871799869421,0.897058456282326
"t","b",10,3,"logistic_model",1,100,NA,2,0.818424722393608,0.0190047564021233,1.81480443966844,0.993815035115505
"t","b",10,3,"logistic_model",3,1e-04,1,2,0.822383821612186,0.0221719980676266,1.86829033122261,0.884018396179471
"t","b",10,3,"logistic_model",2,100,NA,2,0.818424722393608,0.0190047564021233,1.81480443966844,0.993815035115505
"t","b",10,3,"logistic_model",4,1e-04,1,2,0.822447650891852,0.0186226946415761,1.86521081070215,0.892066939922536
"t","b",10,3,"logistic_model",3,0.00316227766016838,NA,2,0.822432255824015,0.0186345033677537,1.86712564985247,0.892933747267721
"t","b",10,3,"logistic_model",5,1e-04,1,2,0.822447650891852,0.0186226946415761,1.86521081070215,0.892066939922536
"t","b",10,3,"logistic_model",4,0.00316227766016838,NA,2,0.822432255824015,0.0186345033677537,1.86712564985247,0.892933747267721
"t","b",10,3,"logistic_model",3,0.1,NA,2,0.822435052990578,0.0186332414065414,1.86765450921892,0.893220967645116
"t","b",10,3,"logistic_model",5,0.00316227766016838,NA,2,0.822432255824015,0.0186345033677537,1.86712564985247,0.892933747267721
"t","b",10,3,"logistic_model",4,0.1,NA,2,0.822435052990578,0.0186332414065414,1.86765450921892,0.893220967645116
"t","b",10,3,"logistic_model",3,3.16227766016838,NA,2,0.821959234928091,0.018870967449502,1.86871799869421,0.897058456282326
"t","b",10,3,"logistic_model",5,0.1,NA,2,0.822435052990578,0.0186332414065414,1.86765450921892,0.893220967645116
"t","b",10,3,"logistic_model",3,100,NA,2,0.818424722393608,0.0190047564021233,1.81480443966844,0.993815035115505
"t","b",10,3,"logistic_model",4,3.16227766016838,NA,2,0.821959234928091,0.018870967449502,1.86871799869421,0.897058456282326
"t","b",10,3,"logistic_model",4,100,NA,2,0.818424722393608,0.0190047564021233,1.81480443966844,0.993815035115505
"t","b",10,3,"logistic_model",5,3.16227766016838,NA,2,0.821959234928091,0.018870967449502,1.86871799869421,0.897058456282326
"t","b",10,3,"logistic_model",5,100,NA,2,0.818424722393608,0.0190047564021233,1.81480443966844,0.993815035115505
"t","b",10,3,"logistic_model",0,1e-04,1,3,0.810394816686185,0.0611817075356842,1.90190797418938,0.892619990337022
"t","b",10,3,"logistic_model",1,1e-04,1,3,0.810365760275138,0.0602684344493368,1.90560801291132,0.887084043937037
"t","b",10,3,"logistic_model",2,1e-04,1,3,0.81040206426148,0.0628903928815138,1.90727119836889,0.85522579490238
"t","b",10,3,"logistic_model",0,0.00316227766016838,NA,3,0.810432813721616,0.0621101732065141,1.9008342164666,0.873192010573323
"t","b",10,3,"logistic_model",1,0.00316227766016838,NA,3,0.810405693114992,0.0614527594045007,1.89949277003595,0.866335867983979
"t","b",10,3,"logistic_model",2,0.00316227766016838,NA,3,0.81042135938209,0.0613255586973313,1.90134138483598,0.884731763414228
"t","b",10,3,"logistic_model",0,0.1,NA,3,0.810413004409494,0.0610781815260111,1.90256697241601,0.886643833975463
"t","b",10,3,"logistic_model",1,0.1,NA,3,0.810406194467666,0.0614262024191791,1.89941041598956,0.866583391450764
"t","b",10,3,"logistic_model",0,3.16227766016838,NA,3,0.810365704400761,0.061782466107441,1.8903690810122,0.8681019718565
